blind.id,mouse,genotype,gender,age,measure,endpoint
1,HW1,+/+,F,3,0.868421053,cell.ratio
2,HX1,Q111/+,M,3,0.860869565,cell.ratio
3,HW2,+/+,F,3,0.921568627,cell.ratio
4,HW3,+/+,F,3,0.854700855,cell.ratio
5,HX2,Q111/+,M,3,0.820143885,cell.ratio
6,HZ1,Q111/+,F,3,0.84,cell.ratio
7,HX3,Q111/+,M,3,0.763358779,cell.ratio
8,HW4,+/+,F,3,0.863247863,cell.ratio
9,HW5,+/+,F,3,0.816513761,cell.ratio
10,HY1,+/+,F,3,0.810344828,cell.ratio
11,HZ2,Q111/+,F,3,0.891666667,cell.ratio
12,HY2,+/+,F,3,0.8359375,cell.ratio
13,HX4,Q111/+,M,3,0.9,cell.ratio
14,HX5,Q111/+,M,3,0.760683761,cell.ratio
15,HY3,+/+,F,3,0.783333333,cell.ratio
16,HZ3,Q111/+,F,3,0.913385827,cell.ratio
17,HY4,+/+,F,3,0.851485149,cell.ratio
18,HX7,Q111/+,M,3,0.79245283,cell.ratio
19,HZ4,Q111/+,F,3,0.875,cell.ratio
20,HV1,+/+,M,3,0.74015748,cell.ratio
21,HV2,+/+,M,3,0.706896552,cell.ratio
22,HX6,Q111/+,M,3,0.945454545,cell.ratio
23,HZ5,Q111/+,F,3,0.841584158,cell.ratio
24,HX8,Q111/+,M,3,0.769911504,cell.ratio
25,HV3,+/+,M,3,0.858333333,cell.ratio
26,HX9,Q111/+,M,3,0.75,cell.ratio
27,HZ6,Q111/+,F,3,0.731481481,cell.ratio
28,HV4,+/+,M,3,0.896,cell.ratio
29,HV5,+/+,M,3,0.696721311,cell.ratio
30,HZ7,Q111/+,F,3,0.793103448,cell.ratio
31,HV6,+/+,M,3,0.9,cell.ratio
32,HV7,+/+,M,3,0.862385321,cell.ratio
33,HZ8,Q111/+,F,3,0.818181818,cell.ratio
34,HV8,+/+,M,3,0.828828829,cell.ratio
35,HZ9,Q111/+,F,3,0.896907216,cell.ratio
1,HW1,+/+,F,3,0.798076923,cell.ratio
2,HX1,Q111/+,M,3,0.722689076,cell.ratio
3,HW2,+/+,F,3,0.836538462,cell.ratio
4,HW3,+/+,F,3,0.678082192,cell.ratio
5,HX2,Q111/+,M,3,0.836206897,cell.ratio
6,HZ1,Q111/+,F,3,0.844036697,cell.ratio
7,HX3,Q111/+,M,3,0.787234043,cell.ratio
8,HW4,+/+,F,3,0.931372549,cell.ratio
9,HW5,+/+,F,3,0.816793893,cell.ratio
10,HY1,+/+,F,3,0.872727273,cell.ratio
11,HZ2,Q111/+,F,3,0.73943662,cell.ratio
12,HY2,+/+,F,3,0.876106195,cell.ratio
13,HX4,Q111/+,M,3,0.818181818,cell.ratio
14,HX5,Q111/+,M,3,0.726495726,cell.ratio
15,HY3,+/+,F,3,0.87,cell.ratio
16,HZ3,Q111/+,F,3,0.786324786,cell.ratio
17,HY4,+/+,F,3,0.933962264,cell.ratio
18,HX7,Q111/+,M,3,0.947368421,cell.ratio
19,HZ4,Q111/+,F,3,0.936170213,cell.ratio
20,HV1,+/+,M,3,0.921568627,cell.ratio
21,HV2,+/+,M,3,0.704347826,cell.ratio
22,HX6,Q111/+,M,3,0.84375,cell.ratio
23,HZ5,Q111/+,F,3,0.844827586,cell.ratio
24,HX8,Q111/+,M,3,0.770992366,cell.ratio
25,HV3,+/+,M,3,0.951456311,cell.ratio
26,HX9,Q111/+,M,3,1.058139535,cell.ratio
