mouse,gender,genotype,age,endpoint,measure,tissue
HW5,F,+/+,3,Pde10a,1.066136,striatum
HW1,F,+/+,3,Pde10a,1.316447,striatum
HW2,F,+/+,3,Pde10a,1.961511,striatum
HW3,F,+/+,3,Pde10a,1.728492,striatum
HW4,F,+/+,3,Pde10a,1.884108,striatum
HV1,M,+/+,3,Pde10a,1.225728,striatum
HV2,M,+/+,3,Pde10a,1.018762,striatum
HV3,M,+/+,3,Pde10a,0.997443,striatum
HV4,M,+/+,3,Pde10a,0.920369,striatum
HZ1,F,Q111/+,3,Pde10a,1.324741,striatum
HZ2,F,Q111/+,3,Pde10a,1.370272,striatum
HZ3,F,Q111/+,3,Pde10a,1.339861,striatum
HZ4,F,Q111/+,3,Pde10a,1.467716,striatum
HX5,M,Q111/+,3,Pde10a,0.910466,striatum
HX1,M,Q111/+,3,Pde10a,1.195223,striatum
HX2,M,Q111/+,3,Pde10a,1.039878,striatum
HX3,M,Q111/+,3,Pde10a,0.820869,striatum
HX4,M,Q111/+,3,Pde10a,1.22516,striatum
FW5,F,+/+,9,Pde10a,1.144006,striatum
FW1,F,+/+,9,Pde10a,1.410983,striatum
FW2,F,+/+,9,Pde10a,1.273031,striatum
FW3,F,+/+,9,Pde10a,1.423595,striatum
FW4,F,+/+,9,Pde10a,1.312141,striatum
MW1,M,+/+,9,Pde10a,1.694696,striatum
MW2,M,+/+,9,Pde10a,1.418259,striatum
MW3,M,+/+,9,Pde10a,0.217782,striatum
MW4,M,+/+,9,Pde10a,1.470992,striatum
FH1,F,Q111/+,9,Pde10a,0.61239,striatum
FH2,F,Q111/+,9,Pde10a,0.662067,striatum
FH3,F,Q111/+,9,Pde10a,0.242043,striatum
FH4,F,Q111/+,9,Pde10a,0.813929,striatum
MH5,M,Q111/+,9,Pde10a,0.091492,striatum
MH1,M,Q111/+,9,Pde10a,0.809636,striatum
MH2,M,Q111/+,9,Pde10a,0.932021,striatum
MH3,M,Q111/+,9,Pde10a,0.713025,striatum
MH4,M,Q111/+,9,Pde10a,1.194585,striatum
JY5,F,+/+,12,Pde10a,1.80249,striatum
JX5,M,Q111/+,12,Pde10a,0.504189,striatum
JW1,M,+/+,12,Pde10a,0.867916,striatum
JW2,M,+/+,12,Pde10a,1.236692,striatum
JW3,M,+/+,12,Pde10a,0.995216,striatum
JW4,M,+/+,12,Pde10a,1.437514,striatum
JX1,M,Q111/+,12,Pde10a,0.599248,striatum
JX2,M,Q111/+,12,Pde10a,0.602181,striatum
JX3,M,Q111/+,12,Pde10a,0.963495,striatum
JX4,M,Q111/+,12,Pde10a,1.518924,striatum
JY1,F,+/+,12,Pde10a,1.722692,striatum
JY2,F,+/+,12,Pde10a,2.294867,striatum
JY3,F,+/+,12,Pde10a,1.185949,striatum
JY4,F,+/+,12,Pde10a,1.324445,striatum
JZ1,F,Q111/+,12,Pde10a,0.952292,striatum
JZ2,F,Q111/+,12,Pde10a,0.715652,striatum
JZ3,F,Q111/+,12,Pde10a,0.664803,striatum
JZ4,F,Q111/+,12,Pde10a,0.65905,striatum
HV1,M,+/+,3,Penk,1.280899,striatum
HV2,M,+/+,3,Penk,1.057766,striatum
HV3,M,+/+,3,Penk,0.957654,striatum
HV4,M,+/+,3,Penk,1.027751,striatum
HW1,F,+/+,3,Penk,1.465606,striatum
HW2,F,+/+,3,Penk,1.926174,striatum
HW3,F,+/+,3,Penk,1.789585,striatum
HW4,F,+/+,3,Penk,2.111031,striatum
HW5,F,+/+,3,Penk,0.981286,striatum
HX1,M,Q111/+,3,Penk,1.025145,striatum
HX2,M,Q111/+,3,Penk,1.097768,striatum
HX3,M,Q111/+,3,Penk,0.826796,striatum
HX5,M,Q111/+,3,Penk,0.878354,striatum
HZ1,F,Q111/+,3,Penk,1.294055,striatum
HZ2,F,Q111/+,3,Penk,1.365597,striatum
HZ3,F,Q111/+,3,Penk,1.406739,striatum
HZ4,F,Q111/+,3,Penk,1.477939,striatum
FW1,F,+/+,9,Penk,1.407184,striatum
FW2,F,+/+,9,Penk,1.338606,striatum
FW3,F,+/+,9,Penk,1.314579,striatum
FW4,F,+/+,9,Penk,1.431586,striatum
FW5,F,+/+,9,Penk,0.845241,striatum
MW1,M,+/+,9,Penk,1.652972,striatum
MW2,M,+/+,9,Penk,1.438628,striatum
MW3,M,+/+,9,Penk,1.330325,striatum
MW4,M,+/+,9,Penk,1.534899,striatum
FH1,F,Q111/+,9,Penk,0.606847,striatum
FH2,F,Q111/+,9,Penk,0.638261,striatum
FH3,F,Q111/+,9,Penk,1.343038,striatum
FH4,F,Q111/+,9,Penk,0.714298,striatum
MH1,M,Q111/+,9,Penk,0.895549,striatum
MH2,M,Q111/+,9,Penk,0.768549,striatum
MH3,M,Q111/+,9,Penk,0.783028,striatum
MH4,M,Q111/+,9,Penk,1.072198,striatum
MH5,M,Q111/+,9,Penk,0.417165,striatum
JY5,F,+/+,12,Penk,1.536434,striatum
JX5,M,Q111/+,12,Penk,0.533854,striatum
JW1,M,+/+,12,Penk,1.008352,striatum
JW2,M,+/+,12,Penk,1.082147,striatum
JW3,M,+/+,12,Penk,1.053771,striatum
JW4,M,+/+,12,Penk,1.122456,striatum
JX1,M,Q111/+,12,Penk,0.541253,striatum
JX2,M,Q111/+,12,Penk,0.584759,striatum
JX3,M,Q111/+,12,Penk,1.085918,striatum
JX4,M,Q111/+,12,Penk,1.567002,striatum
JY1,F,+/+,12,Penk,1.200476,striatum
JY2,F,+/+,12,Penk,2.076768,striatum
JY3,F,+/+,12,Penk,1.053684,striatum
JY4,F,+/+,12,Penk,1.360133,striatum
JZ1,F,Q111/+,12,Penk,1.074719,striatum
JZ2,F,Q111/+,12,Penk,0.71565,striatum
JZ3,F,Q111/+,12,Penk,0.729363,striatum
JZ4,F,Q111/+,12,Penk,0.672345,striatum
HW5,F,+/+,3,Sqstm1,0.670676,striatum
HW1,F,+/+,3,Sqstm1,1.239024,striatum
HW2,F,+/+,3,Sqstm1,1.775239,striatum
HW3,F,+/+,3,Sqstm1,1.559151,striatum
HW4,F,+/+,3,Sqstm1,1.894542,striatum
HV1,M,+/+,3,Sqstm1,0.945169,striatum
HV2,M,+/+,3,Sqstm1,0.643282,striatum
HV3,M,+/+,3,Sqstm1,0.592843,striatum
HV4,M,+/+,3,Sqstm1,0.556524,striatum
HZ1,F,Q111/+,3,Sqstm1,0.92535,striatum
HZ2,F,Q111/+,3,Sqstm1,1.13571,striatum
HZ3,F,Q111/+,3,Sqstm1,1.1428,striatum
HZ4,F,Q111/+,3,Sqstm1,1.30233,striatum
HX5,M,Q111/+,3,Sqstm1,0.647283,striatum
HX1,M,Q111/+,3,Sqstm1,0.696045,striatum
HX2,M,Q111/+,3,Sqstm1,0.77616,striatum
HX3,M,Q111/+,3,Sqstm1,0.597686,striatum
HX4,M,Q111/+,3,Sqstm1,1.012238,striatum
FW5,F,+/+,9,Sqstm1,0.868849,striatum
FW1,F,+/+,9,Sqstm1,1.15891,striatum
FW2,F,+/+,9,Sqstm1,1.074603,striatum
FW3,F,+/+,9,Sqstm1,1.074134,striatum
FW4,F,+/+,9,Sqstm1,1.224214,striatum
MW1,M,+/+,9,Sqstm1,1.533362,striatum
MW2,M,+/+,9,Sqstm1,1.119101,striatum
